County,Population,Per capita income,Median household income,Median family income
Alameda,1494876,34937,70821,87012
Alpine,1167,29576,59018,81750
Amador,38244,28030,56180,69521
Butte,219309,23431,42971,54175
Calaveras,45794,28667,55256,67253
Colusa,21297,21271,49558,55063
Contra Costa,1037817,38141,79135,93437
Del Norte,28561,19247,37588,52076
El Dorado,179878,34385,68815,82930
Fresno,920623,20638,46903,52832
Glenn,28027,21254,43239,51067
Humboldt,133585,24209,40376,52317
Imperial,171343,16593,39402,43769
Inyo,18457,27532,49571,68204
Kern,829254,20167,48021,52041
Kings,152335,18296,48838,51932
Lake,64392,22238,39525,50278
Lassen,35001,19339,52484,65396
Los Angeles,9787747,27954,56266,62595
Madera,149611,18817,47724,51658
Marin,250666,54605,89605,113826
Mariposa,18290,27209,49174,58237
Mendocino,87525,23585,44527,54083
Merced,253606,18304,43945,48429
Modoc,9587,20769,35402,46047
Mono,14016,28789,60469,78079
Monterey,411385,25508,59737,63523
Napa,135377,35309,68641,79884
Nevada,98392,31607,58077,69807
Orange,2989948,34416,75762,85009
Placer,343554,35583,74645,90446
Plumas,20192,28104,44151,53128
Riverside,2154844,24516,58365,65457
Sacramento,1408480,27180,56553,65720
San Benito,54873,26300,65570,73150
San Bernardino,2023452,21932,55853,61525
San Diego,3060849,30955,63857,74633
San Francisco,797983,46777,72947,87329
San Joaquin,680277,22857,53764,60725
San Luis Obispo,267871,30204,58630,74841
San Mateo,711622,45346,87633,104370
Santa Barbara,419793,30330,61896,71695
Santa Clara,1762754,40698,89064,103255
Santa Cruz,259402,32975,66030,80572
Shasta,177231,23691,44058,55250
Sierra,3277,26137,50308,56469
Siskiyou,44687,22335,37865,47632
Solano,411620,29367,69914,79316
Sonoma,478551,33119,64343,78227
Stanislaus,512469,21820,50671,56996
Sutter,94192,22464,50010,54737
Tehama,62985,20689,38753,46805
Trinity,13711,22551,37672,46980
Tulare,436234,17986,43550,46881
Tuolumne,55736,26084,47359,59710
Ventura,815745,32740,76728,86321
Yolo,198889,28631,57920,74991
Yuba,71817,20046,46617,52775
